,merchant_name,merchant_area,category,display,product,price,discount_price,isDiscount,description,restaurant_status,rating,Location
0,369 Shanghai, Jemursari,Chinese,BEST DEAL,Bestdeal Noodle,108000,,0,Song mie/ Mie Zha jiang +Xiaolongbao/Guo tie small+ Air mineral,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
1,369 Shanghai, Jemursari,Chinese,BEST DEAL,Bestdeal Sup,129599,,0,Sup shanghai +Xiao long bao/ guo tie small +  air mineral,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
2,369 Shanghai, Jemursari,Chinese,BEST DEAL,Bestdeal rice,116400,,0,Nasi goreng 369/ Nasi grg smoked ham + Xiao long bao/ guo tie small + air mineral,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
3,369 Shanghai, Jemursari,Chinese,Dumpling,Siomay Ayam Rebus / Goreng,36000,,0,4 pcs,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
4,369 Shanghai, Jemursari,Chinese,Dumpling,Siomay Babi Rebus/ Goreng,36000,,0,4 pcs,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
5,369 Shanghai, Jemursari,Chinese,Dumpling,Xiao Long Bao 'Pork',69599,,0,8 pcs,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
6,369 Shanghai, Jemursari,Chinese,Dumpling,Guo Tie 'Pork',69599,,0,8 pcs,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
7,369 Shanghai, Jemursari,Chinese,Sandwich,Sandwich Tiongkok,43200,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
8,369 Shanghai, Jemursari,Chinese,Soup,Sup Shanghai,84000,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
9,369 Shanghai, Jemursari,Chinese,Soup,Tim Obat Ayam Hitam,145200,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
10,369 Shanghai, Jemursari,Chinese,Soup,Sup Bakwan,34800,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
11,369 Shanghai, Jemursari,Chinese,Soup,Tim Obat Ayam Kampung,102000,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
12,369 Shanghai, Jemursari,Chinese,Noodles,Mie Polos,26401,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
13,369 Shanghai, Jemursari,Chinese,Noodles,Mie Babat,68400,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
14,369 Shanghai, Jemursari,Chinese,Noodles,Mie Ayam,51599,,0,Mie Kuning/Putih/Sayur/Bihun,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
15,369 Shanghai, Jemursari,Chinese,Noodles,Mie Kou Rou,70800,,0,Mie Kuning/Putih/Sayur/Bihun,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
16,369 Shanghai, Jemursari,Chinese,Noodles,Mie Zhajiang,56400,,0,Mie Kuning/Putih/Sayur/Bihun,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
17,369 Shanghai, Jemursari,Chinese,Noodles,Lomie,66000,,0,,Haram,4.4,"Blk. B Jl. Raya Jemursari No.101, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237"
